cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id,description,cardtype,type,monstertype,attribute,atk,def,level,pscales,lcount,larrows
Abyss-scorn ,0,Common,Unlimited,Forgotten City Dwellers; Master Pack; Songstress of Sorrow Song; Wrath of the Tyrants,,79206750,,"Target 1 ""Mermail"" monster you control; it gains 1000 ATK until the end of this turn. When this Set card is sent to the GY: Target 1 monster your opponent controls; send that target to the GY.",Trap,Normal,,,,,,,,
Abyss-sphere ,0,Rare,Unlimited,Forgotten City Dwellers; Master Pack; Songstress of Sorrow Song; Wrath of the Tyrants,,60202749,,"Special Summon 1 ""Mermail"" monster from your Deck, but its effects are negated. When this card leaves the field, destroy that monster. Destroy this card during your opponent's next End Phase after activation. You cannot activate Spell Cards.",Trap,Continuous,,,,,,,,
Abyss-squall ,0,Rare,Unlimited,Forgotten City Dwellers; Master Pack; Songstress of Sorrow Song; Wrath of the Tyrants,,34707034,,"Target 3 ""Mermail"" monsters in your GY; Special Summon those targets in face-up Defense Position. Their effects are negated and they cannot declare an attack. Destroy them during the End Phase.",Trap,Normal,,,,,,,,
Abyss-steam ,0,Rare,Unlimited,Forgotten City Dwellers; Master Pack; Wrath of the Tyrants,,63941169,,"Draw cards equal to the number of different Monster Types among the monsters you control that are Fish, Sea Serpent, or Aqua monsters, also until the end of your next turn after this card resolves, you cannot Special Summon from the Extra Deck, except WATER monsters. If a face-up WATER monster(s) you control is destroyed by battle or card effect, while this card is in your GY: You can banish this card; add 1 ""Mermail"" monster from your GY or banishment to your hand. You can only use each effect of ""Abyss-steam"" once per turn.",Trap,Normal,,,,,,,,
Abyss-sting Triaina ,0,Rare,Unlimited,Forgotten City Dwellers; Master Pack; Wrath of the Tyrants,,81878201,,"Special Summon 1 ""Atlantean"" or ""Mermail"" monster from your hand or GY, and if you do, equip it with this card. If the equipped monster would be destroyed by battle or card effect, you can send this card to the GY instead. You can banish this card from your GY, then target up to 3 of your Fish, Sea Serpent, and/or Aqua monsters that are banished or in your GY; shuffle them into the Deck. You can only use this effect of ""Abyss-sting Triaina"" once per turn. You can only activate 1 ""Abyss-sting Triaina"" per turn.",Spell,Equip,,,,,,,,
Abyss-strom ,0,Common,Unlimited,Cosmic Ocean; Forgotten City Dwellers; Master Pack; Songstress of Sorrow Song,,97697447,,"Send 1 face-up ""Umi"" you control to the Graveyard; send all Spell and Trap Cards on the field to the Graveyard.",Trap,Normal,,,,,,,,
Abyssal Designator ,0,Common,Unlimited,Legacy Pack,,89801755,,Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the declared Type and Attribute from their hand or Deck to the Graveyard.,Spell,Normal,,,,,,,,
Abyssal Kingshark ,0,Common,Unlimited,Legacy Pack,,44223284,,"Each turn, the first time this card would be destroyed by an effect that does not target it, it is not destroyed.",Monster,Effect,Fish,WATER,1700,600,4,,,
"Abyssrhine, the Atlantean Spirit ",0,Super Rare,Unlimited,Forgotten City Dwellers; Master Pack; Wrath of the Tyrants,,17080584,,"(This card is always treated as a ""Mermail"" card.)
You can Tribute this card from your hand and 1 ""Atlantean"" or ""Mermail"" monster from your hand or field; take 1 Level 7 Fish, Sea Serpent, or Aqua monster from your Deck and either add it to your hand or Special Summon it, also you cannot Special Summon from the Extra Deck for the rest of this turn, except WATER monsters. During your opponent's turn (Quick Effect): You can banish this card from your GY and discard 1 card to the GY; draw 1 card. You can only use each effect of ""Abyssrhine, the Atlantean Spirit"" once per turn.",Monster,Effect,Aqua,WATER,1600,1600,3,,,
"Abysstrite, the Atlantean Spirit ",0,Super Rare,Unlimited,Forgotten City Dwellers; Master Pack; Wrath of the Tyrants,,09453320,,"2+ Level 7 WATER monsters
WATER monsters you control gain 300 ATK/DEF for each material attached to this card. You can only use each of the following effects of ""Abysstrite, the Atlantean Spirit"" once per turn. If this card is Xyz Summoned: You can target 1 Level 7 or lower Fish, Sea Serpent, or Aqua monster in your GY; Special Summon it. You can detach 1 material from this card; Set 1 ""Abyss-"" Trap from your Deck.",Monster,Xyz;Effect,Sea Serpent,WATER,2100,2800,7,,,
Abyss Actors' Curtain Call ,0,Rare,Unlimited,Climax of the Showdown; Master Pack; The Darkness Amuses,,04682617,,"If an ""Abyss Script"" Spell Card or effect is activated this turn: Add face-up ""Abyss Actor"" Pendulum Monsters from your Extra Deck to your hand, up to the number of ""Abyss Script"" Spells in your GY. Then, you can Special Summon ""Abyss Actor"" Pendulum Monsters from your hand with different names, up to the number of monsters added to the hand by this effect. You cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters. You can only activate 1 ""Abyss Actors' Curtain Call"" per turn.",Trap,Normal,,,,,,,,
Abyss Actors' Dress Rehearsal ,0,Super Rare,Unlimited,Climax of the Showdown; Master Pack,,06004133,,"At the start of your Main Phase 1: Add 1 ""Abyss Actor"" card and 1 ""Abyss Script"" Spell from your Deck to your hand. For the rest of this turn after this card resolves, you cannot Pendulum Summon monsters, except ""Abyss Actor"" monsters.",Spell,Normal,,,,,,,,
Abyss Actors Back Stage ,0,Common,Unlimited,Master Pack; The Darkness Amuses,,59057953,,"If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: Add 2 ""Abyss Actor"" Pendulum Monsters with different names from your Deck to your Extra Deck face-up. You can only activate 1 ""Abyss Actors Back Stage"" per turn.",Trap,Normal,,,,,,,,
Abyss Actor - Comic Relief ,0,Common,Unlimited,Climax of the Showdown; Master Pack; The Darkness Amuses,,15308295,,"Pendulum Effect
You can target 1 ""Abyss Actor"" Pendulum Monster you control and 1 monster your opponent controls; switch control of both monsters, then destroy this card. You can only use this effect of ""Abyss Actor - Comic Relief"" once per turn.
Monster Effect
You take no battle damage from attacks involving this card. Once per turn, during your Standby Phase: Give control of this card to your opponent. Once per turn, if control of this face-up card changes: Activate this effect; the owner of this card can destroy 1 Set ""Abyss Script"" Spell in their Spell & Trap Zone.",Monster,Pendulum;Effect,Fiend,DARK,1000,2000,3,8,,
Abyss Actor - Curtain Raiser ,0,Rare,Unlimited,Master Pack; The Darkness Amuses,,44179224,,"Pendulum Effect
If you control no monsters: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Curtain Raiser"" once per Duel.
Monster Effect
Gains 1100 ATK if you control no other monsters. Once per turn: You can send 1 ""Abyss Script"" Spell from your Deck to the GY; add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.",Monster,Pendulum;Effect,Fiend,DARK,1100,1000,4,7,,
Abyss Actor - Evil Heel ,0,Ultra Rare,Unlimited,Master Pack; The Darkness Amuses,,52240819,,"Pendulum Effect
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 face-up monster your opponent controls; it loses ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).
Monster Effect
If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; it loses 1000 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. When this card destroys an opponent's monster by battle: You can target 1 ""Abyss Script"" Spell Card in your Graveyard; Set that card.",Monster,Pendulum;Effect,Fiend,DARK,3000,2000,8,1,,
Abyss Actor - Extras ,0,Common,Unlimited,Climax of the Showdown; Master Pack; The Darkness Amuses,,88412339,,"Pendulum Effect
If your opponent controls a monster: You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Abyss Actor - Extras"" once per turn.
Monster Effect
You can Tribute this card; place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone, also for the rest of this turn, you cannot Special Summon monsters, except ""Abyss Actor"" monsters, nor activate the Pendulum Effect of ""Abyss Actor - Extras"". You can only use this effect of ""Abyss Actor - Extras"" once per turn.",Monster,Pendulum;Effect,Fiend,DARK,100,100,1,3,,
Abyss Actor - Funky Comedian ,0,Common,Unlimited,Climax of the Showdown; Master Pack; The Darkness Amuses,,99634927,,"Pendulum Effect
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Actor"" monster you control; it gains ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field).
Monster Effect
If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn.",Monster,Pendulum;Effect,Fiend,DARK,300,200,1,8,,
Abyss Actor - Hyper Director ,0,Super Rare,Unlimited,Master Pack; The Darkness Amuses,,02368215,,"1 ""Abyss Actor"" Pendulum Monster
You can target 1 card in your Pendulum Zone; Special Summon it, then place 1 ""Abyss Actor"" Pendulum Monster with a different name, from your Deck or face-up Extra Deck, to your Pendulum Zone, also you cannot Normal or Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters. You can only use this effect of ""Abyss Actor - Hyper Director"" once per turn.",Monster,Link;Effect,Fiend,DARK,800,,,,1,Bottom-Center
Abyss Actor - Leading Lady ,0,Super Rare,Unlimited,Master Pack; The Darkness Amuses,,24907044,,"Pendulum Effect
Once per turn, when you take battle damage from an opponent's attacking monster: You can activate 1 of these effects;
●That opponent's monster loses ATK equal to the damage you took (even if this card leaves the field).
●Add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand with ATK less than or equal to the damage you took.
Monster Effect
Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell directly from your Deck.",Monster,Pendulum;Effect,Fiend,DARK,1500,1000,4,2,,
Abyss Actor - Liberty Dramatist ,0,Common,Unlimited,Climax of the Showdown; Master Pack,,65477143,,"Pendulum Effect
When a monster declares an attack: You can discard 1 card; Special Summon this card to your opponent's field. You can only use this effect of ""Abyss Actor - Liberty Dramatist"" once per turn.
Monster Effect
If this card is Special Summoned from the Pendulum Zone: The owner of this card reveals 3 ""Abyss Script"" Spells from their Deck, their opponent randomly picks 1 for this card's owner to Set on their field (but the owner destroys it during the End Phase), also shuffle the rest into the Deck. If this card is destroyed: You can shuffle 1 ""Abyss Script"" Spell from your GY into the Deck. You can only use each effect of ""Abyss Actor - Liberty Dramatist"" once per turn.",Monster,Pendulum;Effect,Fiend,DARK,1500,1500,4,8,,
Abyss Actor - Mellow Madonna ,0,Ultra Rare,Unlimited,Master Pack; The Darkness Amuses,,78310590,,"Pendulum Effect
You can pay 1000 LP; add 1 ""Abyss Actor"" Pendulum Monster from your Deck to your hand, except ""Abyss Actor - Mellow Madonna"", also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" Pendulum Monsters (even if this card leaves the field). You can only use this effect of ""Abyss Actor - Mellow Madonna"" once per turn.
Monster Effect
Gains 100 ATK for each ""Abyss Script"" Spell in your GY. You can only use each of the following effects of ""Abyss Actor - Mellow Madonna"" once per turn.
●When a Pendulum Monster you control is destroyed by battle: You can Special Summon this card from your hand.
●If an ""Abyss Script"" Spell Card or effect is activated: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" Pendulum Monster from your Deck, but return it to the hand during the End Phase.",Monster,Pendulum;Effect,Fiend,DARK,1800,2500,7,0,,
Abyss Actor - Sassy Rookie ,0,Rare,Unlimited,Master Pack; The Darkness Amuses,,51028231,,"Pendulum Effect
If an ""Abyss Actor"" monster(s) you control would be destroyed by battle or an opponent's card effect, you can destroy this card instead.
Monster Effect
The first time this card would be destroyed by battle or card effect each turn, it is not destroyed. If this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck, except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it.",Monster,Pendulum;Effect,Fiend,DARK,1700,1000,4,2,,
Abyss Actor - Superstar ,0,Ultra Rare,Unlimited,Master Pack; The Darkness Amuses,,25629622,,"Pendulum Effect
Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell in your GY; add it to your hand.
Monster Effect
When Normal or Special Summoned, your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell directly from your Deck, but it is sent to the GY during the End Phase.",Monster,Pendulum;Effect,Fiend,DARK,2500,1800,7,3,,
Abyss Actor - Super Producer ,0,Ultra Rare,Unlimited,Climax of the Showdown; Master Pack,,47404795,,"2 monsters, including a Fiend monster
During the Main Phase (Quick Effect): You can target 1 face-up card you control; destroy it, then you can apply 1 of these effects.
●Place 1 ""Abyss Playhouse - Fantastic Theater"" from your Deck, face-up in your Field Zone.
●Place 1 ""Abyss Actor"" Pendulum Monster from your Deck in your Pendulum Zone.
You can only use this effect of ""Abyss Actor - Super Producer"" once per turn.",Monster,Link;Effect,Fiend,DARK,1600,,,,2,Bottom-Left; Bottom-Right
Abyss Actor - Trendy Understudy ,0,Rare,Unlimited,Climax of the Showdown; Master Pack; The Darkness Amuses,,39024589,,"Pendulum Effect
When you Pendulum Summon a monster: You can add 1 face-up Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand.
Monster Effect
If you have 2 ""Abyss Actor"" cards in your Pendulum Zones: You can Tribute this card; Special Summon 1 Level 1 or 8 ""Abyss Actor"" Pendulum Monster from your hand or face-up from your Extra Deck. You can only use this effect of ""Abyss Actor - Trendy Understudy"" once per turn.",Monster,Pendulum;Effect,Fiend,DARK,700,700,2,8,,
Abyss Actor - Twinkle Little Star ,0,Rare,Unlimited,Master Pack; The Darkness Amuses,,07279373,,"Pendulum Effect
You cannot Pendulum Summon monsters, except ""Abyss Actor"" monsters. This effect cannot be negated. Once per turn: You can target 1 ""Abyss Actor"" monster you control; this turn, it can make up to 3 attacks on monsters during each Battle Phase, also other monsters you control cannot attack for the rest of this turn (even if this card leaves the field).
Monster Effect
Cannot be destroyed by battle during your turn. This card can make up to 3 attacks on monsters during each Battle Phase.",Monster,Pendulum;Effect,Fiend,DARK,1000,1000,4,9,,
Abyss Actor - Wild Hope ,0,Super Rare,Unlimited,Master Pack; The Darkness Amuses,,51391183,,"Pendulum Effect
Once per turn: You can target 1 ""Abyss Actor"" card in your other Pendulum Zone; its Pendulum Scale becomes 9 until the end of this turn, also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters (even if this card leaves the field).
Monster Effect
Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names, until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand, except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn.",Monster,Pendulum;Effect,Fiend,DARK,1600,1200,4,2,,
